City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rawson,AR,-43.3002,-65.1023,61.11,62,98,16.06,overcast clouds
1,Saskylakh,RU,71.9167,114.0833,-23.62,94,10,8.5,clear sky
2,Carahue,CL,-38.7,-73.1667,66.4,46,11,8.99,few clouds
3,Kahului,US,20.8947,-156.47,76.84,83,1,11.5,clear sky
4,Katsuura,JP,35.1333,140.3,60.82,73,98,24.34,light rain
5,Sawtell,AU,-30.3833,153.1,67.19,96,90,5.75,moderate rain
6,Atuona,PF,-9.8,-139.0333,78.06,78,15,14.43,light rain
7,Ushtobe,KZ,45.2514,77.9838,27.88,73,30,5.64,scattered clouds
8,Mar Del Plata,AR,-38.0023,-57.5575,84.22,55,0,13.0,clear sky
9,Kashi,CN,39.4547,75.9797,29.41,54,18,4.47,few clouds
10,Tomatlan,MX,19.9333,-105.25,87.49,39,0,1.21,clear sky
11,Rikitea,PF,-23.1203,-134.9692,72.84,67,3,7.94,clear sky
12,Kapaa,US,22.0752,-159.319,70.2,59,17,8.77,few clouds
13,Bluff,NZ,-46.6,168.3333,51.66,83,100,9.31,overcast clouds
14,Salalah,OM,17.0151,54.0924,77.25,63,100,1.86,overcast clouds
15,Aklavik,CA,68.2191,-135.0107,-8.57,84,20,4.61,few clouds
16,Iisalmi,FI,63.5592,27.1907,23.02,58,33,12.46,scattered clouds
17,Ushuaia,AR,-54.8,-68.3,38.86,81,75,25.32,sleet
18,Muroto,JP,33.2833,134.15,66.78,73,85,5.12,overcast clouds
19,Mahebourg,MU,-20.4081,57.7,77.29,73,20,3.44,light rain
20,Busselton,AU,-33.65,115.3333,61.05,92,93,8.75,overcast clouds
21,Ponta Do Sol,PT,32.6667,-17.1,67.01,83,100,13.09,overcast clouds
22,Dingle,PH,10.9995,122.6711,76.86,91,20,4.47,few clouds
23,Mataura,NZ,-46.1927,168.8643,49.68,99,100,2.42,overcast clouds
24,Hermanus,ZA,-34.4187,19.2345,72.9,80,69,17.96,light rain
25,Christchurch,NZ,-43.5333,172.6333,55.0,87,90,5.99,overcast clouds
26,Vaini,TO,-21.2,-175.2,73.56,94,20,0.0,few clouds
27,Kiruna,SE,67.8557,20.2251,18.52,73,51,11.5,broken clouds
28,Kinshasa,CD,-4.3246,15.3215,75.58,89,98,4.34,moderate rain
29,Kodiak,US,57.79,-152.4072,23.59,70,25,5.5,scattered clouds
30,Itarema,BR,-2.9248,-39.9167,88.79,52,27,16.42,scattered clouds
31,Cherskiy,RU,68.75,161.3,-29.25,100,96,4.0,overcast clouds
32,Chokurdakh,RU,70.6333,147.9167,-14.35,100,94,1.86,overcast clouds
33,Bredasdorp,ZA,-34.5322,20.0403,63.28,82,88,16.96,light rain
34,Vestmanna,FO,62.1564,-7.1664,41.92,75,90,16.11,overcast clouds
35,Luderitz,NA,-26.6481,15.1594,64.17,72,0,16.37,clear sky
36,Havoysund,NO,70.9963,24.6622,25.68,62,100,23.02,light snow
37,Husavik,IS,66.0449,-17.3389,49.91,88,91,12.12,overcast clouds
38,Shelburne,CA,44.0787,-80.2041,41.45,88,72,12.26,broken clouds
39,Port Said,EG,31.2565,32.2841,66.18,77,0,8.05,clear sky
40,Quelimane,MZ,-17.8786,36.8883,82.35,78,40,13.0,scattered clouds
41,Kildinstroy,RU,68.8049,33.1,23.31,100,75,4.47,light shower snow
42,Sitka,US,57.0531,-135.33,46.29,76,90,29.93,light rain
43,Katherine,AU,-14.4667,132.2667,84.52,70,77,8.05,broken clouds
44,Port Alfred,ZA,-33.5906,26.891,68.9,84,77,30.67,broken clouds
45,Puerto Ayora,EC,-0.7393,-90.3518,76.96,73,71,10.89,broken clouds
46,Saldanha,ZA,-33.0117,17.9442,78.85,79,8,20.69,clear sky
47,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,1,2.3,clear sky
48,Tautira,PF,-17.7333,-149.15,78.82,66,48,8.14,scattered clouds
49,Butaritari,KI,3.0707,172.7902,80.33,80,69,9.17,light rain
50,Brigantine,US,39.4101,-74.3646,55.45,72,93,8.9,overcast clouds
51,Saint-Philippe,RE,-21.3585,55.7679,76.59,74,40,7.25,scattered clouds
52,Arlit,NE,18.7369,7.3853,87.33,12,10,8.68,clear sky
53,Albany,US,42.6001,-73.9662,50.81,57,83,4.0,broken clouds
54,Belen,TR,36.4891,36.2233,52.65,63,11,3.58,few clouds
55,Arman,RU,59.7,150.1667,11.75,77,100,9.69,overcast clouds
56,Sistranda,NO,63.7256,8.834,36.9,62,97,13.2,light snow
57,Dikson,RU,73.5069,80.5464,-7.82,73,15,14.14,few clouds
58,Punta Arenas,CL,-53.15,-70.9167,46.51,49,75,21.85,broken clouds
59,Aleksandrov Gay,RU,50.147,48.5704,36.25,76,36,15.99,scattered clouds
60,Namibe,AO,-15.1961,12.1522,74.03,68,20,11.5,few clouds
61,Qaanaaq,GL,77.484,-69.3632,-7.98,64,10,7.25,clear sky
62,Jamestown,US,42.097,-79.2353,46.51,57,20,7.0,few clouds
63,Adeje,ES,28.1227,-16.726,72.01,65,20,1.01,few clouds
64,Xam Nua,LA,20.4197,104.0439,62.42,100,29,2.37,scattered clouds
